drugname,a,b,ROR
DIPYRONE,21,59,4.55350152592714
LEVOCETIRIZINE HYDROCHLORIDE,29,82,4.506345646087367
EMEND,35,99,4.496619523670751
IODINE,30,85,4.495667262452347
DOBUTAMINE,25,71,4.494425046565272
HYALURONIDASE,23,66,4.453257395774163
VOLTAREN,306,870,4.448844824445071
SULFAMETHOXAZOLE\TRIMETHOPRIM,261,743,4.442138590824532
PERCOCET,27,78,4.414795890672036
LAMICTAL,190,550,4.367627912503812
TUMS ULTRA,38,112,4.313198244612885
HYDROCORTISONE ACETATE,189,555,4.305521653041035
APREPITANT,78,230,4.293890544090351
DICLOFENAC,550,1625,4.288732445592508
CALCIUM CARBONATE\CHOLECALCIFEROL,42,125,4.268271290785894
OXYCODONE AND ACETAMINOPHEN,23,69,4.261018187270708
VITAMIN C,218,654,4.214575204685397
SODIUM PICOSULFATE,43,131,4.169395261360522
LIVMARLI,29,89,4.153866119468425
ZOCOR,37,116,4.056856379535507
HYDROCORTISONE,525,1670,3.9822993005713405
CHOLECALCIFEROL,204,651,3.9620362535452416
MINERALS\VITAMINS,21,68,3.9551970828524827
SOLU-MEDROL,55,177,3.9413778636678214
NICOTINAMIDE,38,123,3.92898525278534
CEFTRIAXONE SODIUM,48,157,3.881380140997655
PYRIDOXINE HYDROCHLORIDE,61,200,3.8666612916580334
CLIOQUINOL\FLUMETHASONE,41,136,3.831884549914084
CALTRATE,23,77,3.8211418048025863
ORENCIA,1836,6162,3.817220937915651
DULCOLAX (BISACODYL),28,95,3.7608606988206805
AIMOVIG,257,869,3.7396881859164806
RITUXAN,169,580,3.6842781504347375
DOXYCYCLINE HYCLATE,99,343,3.6526820816975576
ERYTHROMYCIN,46,162,3.606716378526822
OTEZLA,435,1572,3.502439477458723
MAGNESIUM CITRATE,34,127,3.4101450528491952
NAPROXEN,343,1276,3.4002993154533887
TRIAMCINOLONE ACETONIDE,178,675,3.3343066706842226
REMICADE,949,3631,3.3208091083315816
SIMPONI,747,2869,3.3028336667685667
CALCIUM CARBONATE,249,959,3.283020703409073
NOREPINEPHRINE BITARTRATE,41,159,3.2792519901805806
MAGNESIUM,57,223,3.2429114987818046
HYRIMOZ,459,1795,3.2367329126194795
MYRBETRIQ,105,414,3.2095592911148603
LYRICA,120,485,3.130145809468014
RAMIPRIL,275,1118,3.1103144990727545
TRIAMCINOLONE,75,308,3.085288157646173
CALCIUM,88,363,3.0696454264467463
ATIVAN,26,109,3.04972844153871
NOREPINEPHRINE,36,154,2.9773341211785596
DOMPERIDONE MALEATE,105,453,2.933434411633665
HEPARIN SODIUM,61,266,2.908879799924874
VEOZAH,40,175,2.908394793895964
OXYCODONE,286,1245,2.904721854785132
PREVACID,36,158,2.902185207283616
IPRATROPIUM BROMIDE,46,203,2.879942717955677
ACETAMINOPHEN,1229,5456,2.8666551608582904
PREDNISONE,2418,11007,2.8214451759581114
CALCIUM CITRATE,27,125,2.7613214496199885
DEXTROSE,69,319,2.7420903783451243
SULFAMETHOXAZOLE AND TRIMETHOPRIM,38,180,2.688105972959537
CANDESARTAN,210,991,2.679098510480944
AZATHIOPRINE SODIUM,43,205,2.667817658363144
MINOCYCLINE,50,240,2.6465323137636685
PANTOPRAZOLE SODIUM ANHYDROUS,87,420,2.6233871283669083
DIPHENHYDRAMINE HYDROCHLORIDE,47,228,2.619977411621443
HUMIRA,931,4525,2.6114488589828717
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,59,288,2.5995569533537886
MYOCHRYSINE,60,300,2.537694503038031
TOPIRAMATE,271,1371,2.498998779992951
RITUXIMAB,2267,11748,2.472012269761857
DARBEPOETIN ALFA,31,165,2.3985285533768224
QUETIAPINE FUMARATE,172,907,2.3977658874418815
USTEKINUMAB,186,993,2.3681711240754026
BISACODYL,31,168,2.355817996162739
PREDONINE,32,175,2.3336711762422055
STELARA,469,2579,2.300552435294124
GLOFITAMAB,41,228,2.2888667244874963
ALLOPURINOL,102,567,2.277172304305411
METHYLPREDNISOLONE SODIUM SUCCINATE,162,903,2.26849884634668
CERTOLIZUMAB PEGOL,294,1654,2.2470545623544607
ADALIMUMAB,828,4700,2.2330253178739676
BOTULINUM TOXIN TYPE A,126,715,2.2293757363788096
FLUTICASONE FUROATE,33,190,2.21606374721709
DOMPERIDONE,36,209,2.1955791607022213
TRETINOIN,31,182,2.1750684782357412
ACETAMINOPHEN\CODEINE PHOSPHATE,46,269,2.1745128333794037
WARFARIN SODIUM,38,223,2.1708416050082886
METRONIDAZOLE,123,717,2.170355223376034
ERGOCALCIFEROL,98,579,2.142864180811568
COSENTYX,843,5014,2.1308394121101295
UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE,25,155,2.066401797343111
ONDANSETRON,177,1104,2.0269407990602395
EPIRUBICIN HYDROCHLORIDE,25,163,1.9652783592657064
CAFFEINE,24,158,1.9477593479789956
BREO ELLIPTA,41,272,1.9192071688627623
TOPAMAX,41,272,1.9192071688627623
OXYCODONE HYDROCHLORIDE,142,939,1.9125428801937958
METHOTREXATE SODIUM,405,2697,1.8983411002901676
TRAMADOL HYDROCHLORIDE,127,891,1.803113466513393
CLONIDINE HYDROCHLORIDE,20,147,1.7512328403707673
POLATUZUMAB VEDOTIN,62,450,1.7484838432638468
IMURAN,33,241,1.7479895422948704
DOXYCYCLINE,88,658,1.6940016013319827
HYDROMORPHONE HYDROCHLORIDE,115,861,1.6900919068629583
HYDROMORPHONE,108,812,1.6833468745619233
BERINERT,94,709,1.6788658953698579
UMECLIDINIUM BROMIDE,31,241,1.6435921894243688
PREDNISONE ACETATE,23,180,1.640494239776237
ASACOL,66,512,1.635307183115825
MELOXICAM,22,173,1.6340478046388422
PERTUZUMAB,67,521,1.6312575379795111
KEVZARA,190,1497,1.6041352230384398
PANTOPRAZOLE,223,1772,1.5902413566754594
SANDOSTATIN LAR DEPOT,33,267,1.5780521014314104
MAGNESIUM OXIDE,32,262,1.5600955612799383
ONDANSETRON HYDROCHLORIDE,26,217,1.5352213466305176
PANTOPRAZOLE SODIUM,181,1492,1.5333095081335621
PARA-AMINOSALICYLIC ACID,22,185,1.5283236015511965
SKYCLARYS,22,188,1.5039958174189598
LAMOTRIGINE,131,1110,1.4926949767624464
BRENTUXIMAB VEDOTIN,27,237,1.4589835068894526
DEXAMETHASONE SODIUM PHOSPHATE,37,332,1.4211301351031063
DILTIAZEM HYDROCHLORIDE,60,559,1.3626229974799504
SIMVASTATIN,59,567,1.3211828819579714
CODEINE,79,765,1.3087488381291112
AZATHIOPRINE,167,1635,1.2909172953629537
RANITIDINE HYDROCHLORIDE,47,465,1.285775773564694
ATEZOLIZUMAB,73,739,1.2524570491845377
ETANERCEPT,73,745,1.2423697519576447
PAROXETINE,34,354,1.2262306004090922
COLCHICINE,22,236,1.1986898415015024
ANAKINRA,26,286,1.165404969034407
REZDIFFRA,27,297,1.1646676392795805
BISOPROLOL FUMARATE,26,288,1.157323682808586
CEFTRIAXONE,42,475,1.1261578761372606
POTASSIUM CHLORIDE,23,269,1.0986415971705756
DILTIAZEM,48,561,1.088299700037121
INSULIN ASPART,25,299,1.072724741377161
ADVIL,23,276,1.0708206891943783
LANSOPRAZOLE,81,1003,1.0232595952840529
